,期数,红球_1,红球_2,红球_3,红球_4,红球_5,红球_6,蓝球
535,20109,06,13,16,20,23,32,13
536,20108,10,12,15,17,23,32,05
537,20107,03,09,11,24,25,28,16
538,20106,02,04,11,15,18,28,10
539,20105,06,14,19,20,22,24,01
540,20104,04,08,10,16,27,29,09
541,20103,04,09,10,22,28,32,08
542,20102,09,10,19,25,26,29,08
543,20101,10,17,24,25,28,30,15
544,20100,01,07,15,16,20,23,07
545,20099,05,06,11,12,15,30,12
546,20098,06,08,11,22,25,33,02
547,20097,02,08,21,25,26,30,10
548,20096,01,20,23,26,27,32,15
549,20095,03,09,16,17,20,26,02
550,20094,10,15,17,27,29,31,08
551,20093,04,05,10,13,15,19,15
552,20092,01,06,12,18,22,24,03
553,20091,01,09,11,12,16,19,16
554,20090,02,21,23,26,31,32,06
555,20089,02,14,16,21,29,30,10
556,20088,01,06,12,26,29,30,12
557,20087,11,15,20,23,25,33,10
558,20086,02,04,06,15,24,27,06
559,20085,01,02,05,09,19,24,16
560,20084,03,07,16,17,23,30,07
561,20083,01,19,25,26,30,31,12
562,20082,02,08,11,17,21,30,09
563,20081,01,05,13,14,27,33,15
564,20080,14,15,18,22,31,33,01
565,20079,05,12,20,21,22,29,14
566,20078,03,11,14,16,21,32,04
567,20077,03,10,16,21,25,27,12
568,20076,10,15,16,18,20,27,06
569,20075,03,11,13,20,24,30,16
570,20074,04,08,09,13,19,33,12
571,20073,05,07,11,13,27,29,03
572,20072,06,08,10,15,17,26,04
573,20071,09,11,12,13,22,23,08
574,20070,01,02,04,06,19,21,15
575,20069,03,09,10,13,18,26,04
576,20068,12,16,21,26,27,32,10
577,20067,04,07,09,23,27,30,08
578,20066,02,09,13,17,26,28,07
579,20065,09,15,18,21,23,26,08
580,20064,01,03,07,21,27,32,01
581,20063,12,15,16,22,29,32,14
582,20062,10,14,17,22,26,27,05
583,20061,08,17,24,26,27,31,04
584,20060,05,09,14,20,24,30,08
585,20059,02,04,10,17,22,25,14
586,20058,01,03,11,12,19,26,07
587,20057,09,14,21,23,26,32,03
588,20056,02,05,08,12,26,31,14
589,20055,01,05,07,23,28,30,12
590,20054,03,10,19,25,26,31,02
591,20053,02,14,15,16,32,33,01
592,20052,02,08,13,29,32,33,15
593,20051,03,06,08,11,19,28,08
594,20050,04,09,17,20,32,33,15
595,20049,01,07,09,12,18,22,04
596,20048,12,14,18,23,30,32,02
597,20047,04,10,17,19,28,32,01
598,20046,13,19,25,26,27,32,08
599,20045,02,03,15,21,22,33,16
600,20044,07,08,16,17,19,24,07
601,20043,01,11,24,25,27,30,07
602,20042,02,06,07,11,14,31,03
603,20041,06,07,16,22,24,25,13
604,20040,01,06,12,16,19,21,04
605,20039,02,09,10,11,16,29,02
606,20038,01,06,07,18,23,24,15
607,20037,01,04,11,13,17,24,15
608,20036,07,09,16,22,24,32,06
609,20035,10,14,24,25,28,33,11
610,20034,02,08,15,16,26,32,03
611,20033,07,10,12,21,31,32,01
612,20032,03,11,13,14,15,26,13
613,20031,02,05,09,15,16,27,09
614,20030,17,18,21,29,30,32,03
615,20029,01,12,18,20,30,32,05
616,20028,05,06,15,18,26,32,08
617,20027,12,13,14,24,25,28,06
618,20026,01,04,09,18,19,31,06
619,20025,01,09,10,15,20,29,02
620,20024,10,13,27,28,29,31,08
621,20023,04,05,20,21,30,33,08
622,20022,02,10,20,22,25,30,02
623,20021,02,06,14,16,27,31,07
624,20020,01,06,09,13,15,22,14
625,20019,15,19,27,28,30,33,03
626,20018,05,07,08,11,17,22,13
627,20017,02,04,07,15,20,27,04
628,20016,05,06,08,17,24,27,07
629,20015,08,09,22,24,30,33,01
630,20014,02,07,08,10,12,16,07
631,20013,02,08,10,20,21,30,14
632,20012,04,13,14,23,26,31,09
633,20011,04,05,07,17,18,29,01
634,20010,11,14,22,27,31,32,09
635,20009,03,06,08,14,19,26,12
636,20008,01,04,06,10,11,28,16
637,20007,05,12,17,20,25,31,10
638,20006,03,04,05,10,16,32,09
639,20005,11,16,17,22,26,32,04
640,20004,02,15,17,27,32,33,03
641,20003,09,17,26,29,30,32,03
642,20002,04,09,14,15,16,29,11
643,20001,02,15,23,26,29,30,02
644,19151,02,06,09,18,24,26,14
645,19150,02,09,14,22,27,29,02
646,19149,01,06,27,28,31,33,07
647,19148,09,10,13,20,26,27,08
648,19147,01,09,12,14,23,27,12
649,19146,01,04,10,12,30,32,14
