,期数,红球_1,红球_2,红球_3,红球_4,红球_5,蓝球_1,蓝球_2
589,20043,12,13,17,31,32,01,06
590,20042,03,04,05,11,22,05,06
591,20041,07,13,20,29,34,04,07
592,20040,02,17,20,28,29,01,07
593,20039,01,05,15,22,31,02,09
594,20038,04,15,20,22,24,01,09
595,20037,01,04,10,11,14,02,05
596,20036,01,05,11,12,26,02,07
597,20035,10,11,22,26,28,02,04
598,20034,11,13,20,27,31,02,04
599,20033,07,19,20,31,34,05,08
600,20032,02,03,09,16,32,03,04
601,20031,01,02,05,15,21,04,05
602,20030,01,08,17,27,30,05,06
603,20029,11,14,17,22,30,07,09
604,20028,04,05,28,34,35,01,08
605,20027,04,07,20,25,32,03,09
606,20026,03,15,26,32,34,08,12
607,20025,02,14,21,22,26,05,07
608,20024,03,05,06,24,30,03,07
609,20023,04,11,23,26,30,01,06
610,20022,04,14,20,28,35,02,03
611,20021,10,12,24,31,33,04,09
612,20020,08,10,12,26,32,05,09
613,20019,01,12,22,23,33,01,12
614,20018,09,14,16,24,26,04,12
615,20017,01,06,07,09,10,02,11
616,20016,04,08,19,31,35,01,02
617,20015,01,07,23,24,26,03,07
618,20014,03,07,09,17,21,03,06
619,20013,01,04,05,11,35,03,09
620,20012,01,06,18,32,34,01,03
621,20011,02,13,19,22,23,02,07
622,20010,01,08,13,24,32,02,09
623,20009,19,29,31,34,35,06,10
624,20008,14,17,19,24,32,01,06
625,20007,02,10,19,24,30,05,08
626,20006,09,22,25,31,32,08,12
627,20005,06,10,33,34,35,01,03
628,20004,17,20,21,29,30,05,09
629,20003,23,25,26,30,34,03,07
630,20002,03,07,18,25,30,02,07
631,20001,17,25,26,32,34,04,07
632,19150,07,11,12,16,33,05,07
633,19149,01,02,07,33,35,06,10
634,19148,03,04,07,11,30,08,09
635,19147,09,12,19,22,33,07,08
636,19146,10,11,26,33,34,01,06
637,19145,05,09,19,22,32,03,05
638,19144,02,05,20,28,31,02,11
639,19143,04,22,23,24,32,06,12
640,19142,03,04,26,29,33,06,07
641,19141,02,10,20,21,35,01,12
642,19140,03,07,08,25,27,03,05
643,19139,01,05,07,08,11,06,10
644,19138,04,06,07,20,29,02,04
645,19137,03,05,12,13,26,07,12
646,19136,03,16,20,26,29,03,09
647,19135,04,05,19,25,26,01,11
648,19134,05,06,07,14,17,10,11
